,index,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
26,52,570006886012973056,1,0.657,,,Virgin America,,joyabsalon,,0,VirginAmerica ladygaga carrieunderwood Julie Andrews way though ladygaga impressive ! NO Carrieunderwood,,2015-02-23 15:46:46 -0800,Northern Virginia,Eastern Time (US & Canada)
27,56,569996412286582784,0,0.6939,Flight Booking Problems,0.6939,Virgin America,,murphicus,,0,VirginAmerica hi ! 'm excited $ 99 LGA- & gt ; DAL deal- 've try 2 book since last week & amp ; page never loads. thx !,,2015-02-23 15:05:09 -0800,"new york, new york",Eastern Time (US & Canada)
28,57,569996245462159361,1,1.0,,,Virgin America,,VinnieFerra,,0,VirginAmerica know it. Need spotify stat # guiltypleasures,,2015-02-23 15:04:29 -0800,"brooklyn, Ny",Pacific Time (US & Canada)
29,58,569990222609412097,1,0.635,,,Virgin America,,KevinDemsi,,0,VirginAmerica ladygaga carrieunderwood I 'm Lady Gaga ! ! ! She amaze ! ð,,2015-02-23 14:40:33 -0800,"Bali, Republic of Indonesia",Kuala Lumpur
30,65,569986348041547778,1,1.0,,,Virgin America,,jeffreymace01,,0,VirginAmerica ladygaga carrieunderwood love three really ca n't beat classic !,,2015-02-23 14:25:09 -0800,,
31,67,569976620158578688,0,1.0,Customer Service Issue,1.0,Virgin America,,onerockgypsy,,0,VirginAmerica heyyyy guyyyys.. try get hour. someone call please ? : /,,2015-02-23 13:46:30 -0800,next city,Pacific Time (US & Canada)
32,68,569973821396152323,0,1.0,Late Flight,0.6789,Virgin America,,noelduan,,0,"VirginAmerica Hi , Virgin ! I 'm hold 40-50 minute -- early flight LA NYC tonight ; earlier 11:50pm ?",,2015-02-23 13:35:23 -0800,SF â NY,Eastern Time (US & Canada)
33,69,569972508499283968,1,0.6922,,,Virgin America,,Travelzoo,,0,VirginAmerica Congrats win Travelzoo award Best Deals Airline ( US ) http : //t.co/kj1iljaebV,,2015-02-23 13:30:10 -0800,"New York, NY",Pacific Time (US & Canada)
34,70,569967019958730753,0,1.0,Lost Luggage,1.0,Virgin America,,gianagon,,0,VirginAmerica everything fine lose bag,"[40.6413712, -73.78311558]",2015-02-23 13:08:21 -0800,New York + Panama,Eastern Time (US & Canada)
35,74,569946362126602240,0,1.0,Flight Attendant Complaints,0.3516,Virgin America,,seimatrun,,0,VirginAmerica airline awesome lax loft need step game. $ 40 dirty table floor ? http : //t.co/hy0VrfhjHt,,2015-02-23 11:46:16 -0800,Los Angeles,
36,75,569942903683813376,1,1.0,,,Virgin America,,mrmichaellay,,0,"VirginAmerica worry , 's great ride new plane great crew. All airline like .","[36.08457854, -115.13780136]",2015-02-23 11:32:31 -0800,Floridian from Cincinnati ,Eastern Time (US & Canada)
37,76,569941957490774016,1,1.0,,,Virgin America,,TaylorLumsden,,0,VirginAmerica awesome. I fly yall Sat morning. Any way correct bill ?,,2015-02-23 11:28:46 -0800,"Dallas, Texas",Mountain Time (US & Canada)
38,79,569935232033366017,0,1.0,Customer Service Issue,1.0,Virgin America,,meme_meng,,0,VirginAmerica go customer service ? Is anyway speak human asap ? Thank .,,2015-02-23 11:02:02 -0800,,
39,81,569933816963342337,0,1.0,Customer Service Issue,1.0,Virgin America,,GunsNDip,,0,VirginAmerica ca n't supp biz traveler like SouthwestAir customer service like JetBlue # neverflyvirginforbusiness,,2015-02-23 10:56:25 -0800,,Pacific Time (US & Canada)
40,82,569933777931145216,1,1.0,,,Virgin America,,artisticwritr87,,0,VirginAmerica I 've apply member # inflight crew team ... Im 100 % interested. # flightattendant # dreampath -G,,2015-02-23 10:56:16 -0800,"Seattle, WA",Pacific Time (US & Canada)
41,83,569933405506310144,0,0.6792,Late Flight,0.3477,Virgin America,,arieldaie,,0,VirginAmerica 're best ! ! Whenever I ( begrudgingly ) use airline I 'm delayed Late Flight : (,,2015-02-23 10:54:47 -0800,Los Angeles,
42,84,569933360564342784,0,1.0,Can't Tell,1.0,Virgin America,,GunsNDip,,0,VirginAmerica I interest fly this. I Cancelled Flight next four flight I planned. # neverflyvirginforbusiness,,2015-02-23 10:54:36 -0800,,Pacific Time (US & Canada)
43,85,569929243146088448,0,1.0,Can't Tell,1.0,Virgin America,,GunsNDip,,0,VirginAmerica disappointing experience share every business traveler I meet. # neverflyvirgin,,2015-02-23 10:38:14 -0800,,Pacific Time (US & Canada)
44,86,569926998824394752,0,1.0,Flight Booking Problems,1.0,Virgin America,,jsatk,,0,VirginAmerica Iâm trouble add flight wife book Elevate account. Help ? http : //t.co/pX8hQOKS3R,"[0.0, 0.0]",2015-02-23 10:29:19 -0800,"Lower Pacific Heights, SF, CA",Pacific Time (US & Canada)
45,94,569911674158731264,0,1.0,Late Flight,1.0,Virgin America,,GunsNDip,,0,"VirginAmerica land LAX , hour I here. Your Late Flight bag check business travel friendly # nomorevirgin",,2015-02-23 09:28:26 -0800,,Pacific Time (US & Canada)
46,96,569910981868060673,0,1.0,Customer Service Issue,0.6863,Virgin America,,MerchEngines,,0,"VirginAmerica Is , website ? BTW , new website n't great user experience. Time another redesign .",,2015-02-23 09:25:41 -0800,"Los Angeles, CA",Arizona
47,97,569909224521641984,0,1.0,Customer Service Issue,0.6771,Virgin America,,ColorCartel,,0,VirginAmerica I ca n't check add bag. Your website n't working. I 've try desktop mobile http : //t.co/AvyqdMpi1Y,,2015-02-23 09:18:42 -0800,"Austin, TX",Mountain Time (US & Canada)
48,98,569907336485019648,0,1.0,Can't Tell,0.659,Virgin America,,MustBeSpoken,,0,VirginAmerica - Let 2 scanned passenger leave plane tell someone remove bag 1st class bin ? # uncomfortable,,2015-02-23 09:11:12 -0800,,
49,100,569894449620369408,0,1.0,Customer Service Issue,1.0,Virgin America,,louisjenny,,0,VirginAmerica anyone anything today ? Website useless one answer phone .,,2015-02-23 08:19:59 -0800,Washington DC,Quito
50,102,569892199690678272,0,1.0,Late Flight,0.6882,Virgin America,,GunsNDip,,0,VirginAmerica must traveler miss flight Late Flight check bag ? I miss morning appointment lose business. # sfo2lax,,2015-02-23 08:11:03 -0800,,Pacific Time (US & Canada)
51,104,569891436100874241,0,0.6925,Late Flight,0.3521,Virgin America,,mrmichaellay,,0,virginamerica 's direct flight FLL- & gt ; SFO unexpected layover Vegas 4 fuel yet peeps next bought Vegas flight. # sneaky,"[0.0, 0.0]",2015-02-23 08:08:01 -0800,Floridian from Cincinnati ,Eastern Time (US & Canada)
52,106,569887049446076416,1,1.0,,,Virgin America,,TheDuchessSF,,0,"VirginAmerica - amaze customer service , ! ðð RaeAnn SF - 's best ! # customerservice # virginamerica # fly",,2015-02-23 07:50:35 -0800,Online,Pacific Time (US & Canada)
53,107,569884551712886785,0,1.0,Customer Service Issue,1.0,Virgin America,,BeLeather,,0,VirginAmerica call service line hung on. This awesome. # sarcasm,"[0.0, 0.0]",2015-02-23 07:40:39 -0800,,Pacific Time (US & Canada)
54,108,569884407852437504,0,1.0,Flight Booking Problems,0.6366,Virgin America,,BeLeather,,0,VirginAmerica site tripping. I 'm try check I 'm get plain text version. I reluctant enter card info .,"[0.0, 0.0]",2015-02-23 07:40:05 -0800,,Pacific Time (US & Canada)
55,110,569873669700358144,1,0.6823,,0.0,Virgin America,,flyfromWAS,,0,"VirginAmerica getaway deal May , $ 59 one-way. Lots cool city http : //t.co/tZZJhuIbCH # CheapFlights # FareCompare",,2015-02-23 06:57:25 -0800,"Washington, DC",Eastern Time (US & Canada)
56,112,569873665640292353,1,0.6806,,,Virgin America,,flyfromNYC,,0,"VirginAmerica getaway deal May , $ 59 one-way. Lots cool city http : //t.co/B2Xi4YG5T8 # CheapFlights # FareCompare",,2015-02-23 06:57:24 -0800,"New York City, NY",Central Time (US & Canada)
57,114,569872058613673984,1,0.6779999999999999,,,Virgin America,,Silvanabfer,,0,VirginAmerica Have great week ðâ,,2015-02-23 06:51:01 -0800,,
58,115,569861209781989377,1,0.3482,,0.0,Virgin America,,AdamJdubs,,0,VirginAmerica come back # PHL already. We need take u horrible cold. # pleasecomeback http : //t.co/gLXFwP6nQH,,2015-02-23 06:07:54 -0800,Earth,Eastern Time (US & Canada)
59,117,569814339785338880,1,1.0,,,Virgin America,,tstashajones,,0,"VirginAmerica best airline I fly on.Easy change reservation , helpful representative & amp ; comfortable fly experience",,2015-02-23 03:01:39 -0800,"Halifax, Nova Scotia, Canada",Eastern Time (US & Canada)
60,119,569774078233419776,1,1.0,,,Virgin America,,dngoo,,0,VirginAmerica beautiful front-end design right ; cool still book ticket b/c back-end secure .,,2015-02-23 00:21:40 -0800,"Near a park, water, or lights",Pacific Time (US & Canada)
61,120,569770363623575552,1,1.0,,,Virgin America,,SamBrittenham,,0,"VirginAmerica Love team run Gate E9 LAS tonight. Waited delayed flight , keep thing entertain",,2015-02-23 00:06:55 -0800,USA,Eastern Time (US & Canada)
62,123,569737603617943552,0,1.0,Customer Service Issue,0.6527,Virgin America,,KindofLuke,,0,VirginAmerica I like customer service 40 min delay connect passenger seem long. VA370,,2015-02-22 21:56:44 -0800,,
63,124,569714127792254976,1,1.0,,,Virgin America,,ptbrodie,,0,VirginAmerica thanks outstanding NYC-JFK crew move mountain get home San Francisco tonight !,,2015-02-22 20:23:27 -0800,San Francisco,
64,125,569675144353828864,1,1.0,,,Virgin America,,cheryleng,,0,VirginAmerica absolute best team customer service ever. Every time I fly I 'm delighted. Thank !,"[33.9469039, -118.40716847]",2015-02-22 17:48:33 -0800,,Pacific Time (US & Canada)
65,127,569666477265018881,0,0.6703,Customer Service Issue,0.6703,Virgin America,,ChrisFordisHere,,0,VirginAmerica need change flight thats schedule 9 hour 120 min wait time phone. Im call intern. Help ! !,"[51.04345575, -114.06071363]",2015-02-22 17:14:06 -0800,NYC,Tehran
66,128,569652497947734017,1,1.0,,,Virgin America,,JKF1897,,0,VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks awesome flight depart time. # VAbeatsJblue,,2015-02-22 16:18:33 -0800,,
67,131,569642845516275712,0,1.0,Customer Service Issue,0.6448,Virgin America,,melokudo,,0,VirginAmerica fail customer check process link TSA pre-check .,,2015-02-22 15:40:12 -0800,,Eastern Time (US & Canada)
68,132,569634318349246464,0,1.0,Can't Tell,1.0,Virgin America,,ChrysiChrysic,,0,VirginAmerica FiDiFamilies u ! Terrible airline ! Just give u hotel hotline number say sorry,,2015-02-22 15:06:19 -0800,,
69,134,569633279546036224,0,1.0,Cancelled Flight,0.6875,Virgin America,,ChrysiChrysic,,0,VirginAmerica ChrysiChrysic assistance yesterday u Cancelled Flightled flight give u hotel hotline Shame !,,2015-02-22 15:02:11 -0800,,
70,135,569630092273410048,0,1.0,Late Flight,1.0,Virgin America,,MOCBlogger,,0,VirginAmerica Another delayed flight ? # likingyoulessandless,,2015-02-22 14:49:31 -0800,San Diego,Alaska
71,136,569627480425766912,0,1.0,Customer Service Issue,1.0,Virgin America,,tfaz,,0,VirginAmerica I need register service dog first class ticket SFO & gt ; Dulles. The phone queue hour longer. Pls advise,,2015-02-22 14:39:09 -0800,"Oakland, California",Pacific Time (US & Canada)
72,139,569620102389350401,1,0.7011,,,Virgin America,,HollywoodHotMom,,0,VirginAmerica always ! ! ! Xoxo,,2015-02-22 14:09:50 -0800,All Over!,Pacific Time (US & Canada)
73,140,569619569372823552,0,1.0,Flight Booking Problems,1.0,Virgin America,,GoShar2012,,0,VirginAmerica ca n't book seat flight buy even check ? Creates much anxiety ! # frustrate,,2015-02-22 14:07:43 -0800,"Providence, RI",Eastern Time (US & Canada)
74,141,569618527948115968,0,0.6543,Flight Attendant Complaints,0.3562,Virgin America,,MOCBlogger,,0,VirginAmerica You 'd think pay extra $ 100 buck RT luggage might afford hire extra hand sfo # lame,,2015-02-22 14:03:34 -0800,San Diego,Alaska
75,142,569616490380439552,1,1.0,,,Virgin America,,SkateMamas,,0,VirginAmerica best customer service rep world ! # irmafromDallas take cake ! ! !,,2015-02-22 13:55:28 -0800,"Los Angeles, CA",
76,145,569614024578600960,1,1.0,,,Virgin America,,HollywoodHotMom,,0,VirginAmerica amazing staff & amp ; super helpful I run WaltDisneyWorld # PrincessHalf spoil comfort ! ! !,,2015-02-22 13:45:41 -0800,All Over!,Pacific Time (US & Canada)
77,146,569609971383586817,0,1.0,Cancelled Flight,1.0,Virgin America,,mlorenzen,,0,"VirginAmerica I pay premium fly across country , Cancelled Flight flight offer check fee upgrade love ? Sad face : (",,2015-02-22 13:29:34 -0800,"iPhone: 29.741360,-90.131523",Pacific Time (US & Canada)
78,147,569608328998887424,0,0.679,Flight Booking Problems,0.3684,Virgin America,,Tyler_Starrine,,0,VirginAmerica question : possible book seat infant 2 ? It 's give option want seat .,,2015-02-22 13:23:03 -0800,Los Angeles,Pacific Time (US & Canada)
79,149,569596445680115712,1,1.0,,,Virgin America,,livingfitly,,0,virginamerica # flight home # dc # sunset # globe ' # backtowinter back # work ! # refresh http : //t.co/VX9vBCTdLf,,2015-02-22 12:35:49 -0800,"Washington, DC",Eastern Time (US & Canada)
80,150,569596097540132864,0,1.0,Damaged Luggage,0.6501,Virgin America,,khartline,,0,. VirginAmerica I n't understand need DM give answer damage luggage policy .,,2015-02-22 12:34:26 -0800,Las Vegas,Pacific Time (US & Canada)
81,151,569594386066984960,0,1.0,Damaged Luggage,1.0,Virgin America,,khartline,,0,. VirginAmerica mean n't policy destroy luggage ?,,2015-02-22 12:27:38 -0800,Las Vegas,Pacific Time (US & Canada)
82,153,569580805036453888,1,1.0,,,Virgin America,,paulnakada,,0,VirginAmerica thank check in. ticket purchase customer happy ; - ),,2015-02-22 11:33:40 -0800,San Francisco,Pacific Time (US & Canada)
83,158,569572942381649920,0,1.0,Customer Service Issue,0.6983,Virgin America,,paulnakada,,0,VirginAmerica problem Flight Booking Problems web site. keep give error contact phone. phone 30 minute wait .,,2015-02-22 11:02:26 -0800,San Francisco,Pacific Time (US & Canada)
84,159,569572740723712001,0,0.6593,Cancelled Flight,0.6593,Virgin America,,RampantSmashing,,0,VirginAmerica How I reschedule Cancelled Flightled flight online ? The change button greyed !,,2015-02-22 11:01:38 -0800,CA,
85,161,569564853460807680,0,1.0,Late Flight,0.3571,Virgin America,,finslippy,,0,"VirginAmerica get flight ( tell ) 4:50 today.. , check email 4 ; 50 TOMORROW. This unacceptable .",,2015-02-22 10:30:17 -0800,Brooklyn,Eastern Time (US & Canada)
86,162,569564610837086209,0,1.0,Cancelled Flight,1.0,Virgin America,,finslippy,,0,"VirginAmerica flight lga Cancelled Flighted. We 're stuck Dallas. I call reschedule , tell I could get flight today ... ( 1/2 )",,2015-02-22 10:29:19 -0800,Brooklyn,Eastern Time (US & Canada)
87,163,569562202405019650,0,1.0,Bad Flight,1.0,Virgin America,,Gr8Fratsby,,0,virginamerica n't pairing include red wine ? ! Only white offer : ( # redwineisbetter,,2015-02-22 10:19:45 -0800,"Washington, DC",Eastern Time (US & Canada)
88,164,569541127340040192,0,0.6517,Customer Service Issue,0.3371,Virgin America,,sbaaronson,,0,VirginAmerica website ?,,2015-02-22 08:56:00 -0800,Los Angeles,
89,165,569540405676654592,0,0.68,Customer Service Issue,0.35,Virgin America,,jonesbasf,,0,VirginAmerica - Your site seem little wonked right now. May want look. Tried two browsers. No CSS ? http : //t.co/8qsQMM7KF2,,2015-02-22 08:53:08 -0800,,
90,166,569494748341407744,0,1.0,Customer Service Issue,0.7002,Virgin America,,Gr8Fratsby,,0,VirginAmerica I 'm disappointed agent designate silver status check line Dulles_Airport close assist pasengers,,2015-02-22 05:51:43 -0800,"Washington, DC",Eastern Time (US & Canada)
91,168,569477692166316033,0,1.0,Customer Service Issue,1.0,Virgin America,,CSHangover,,0,VirginAmerica Is normal receive reply Central Baggage # baggageissues # smh,,2015-02-22 04:43:56 -0800,Tokyo,Irkutsk
92,169,569461469042966528,0,1.0,longlines,0.6818,Virgin America,,girlphotophilly,,0,VirginAmerica Logan airport wait checkin 9am flight. Checkin desk open ! ! ! ! ! Why ? !,,2015-02-22 03:39:28 -0800,"Philadelphia, Pa",Eastern Time (US & Canada)
93,174,569369239183872000,0,1.0,Can't Tell,0.6629999999999999,Virgin America,,Boards707,,0,"VirginAmerica congrats , get business EWR SFO/LAX. Fuck unite fl1289 SFO/EWR clincher ...",,2015-02-21 21:32:59 -0800,"Belmar, NJ",Eastern Time (US & Canada)
94,175,569368160291463168,0,1.0,Customer Service Issue,0.6777,Virgin America,,MikeWiener,,0,VirginAmerica I apply 2 week ago. Have n't hear back I 'm fly week # disappointed,,2015-02-21 21:28:42 -0800,,Eastern Time (US & Canada)
95,179,569348775631675392,0,1.0,Cancelled Flight,0.3709,Virgin America,,ChrysiChrysic,,0,VirginAmerica shame VA make people spend money strand city airline land JFK ! Who reimburse ?,,2015-02-21 20:11:40 -0800,,
96,182,569323082701275138,0,1.0,Customer Service Issue,0.7148,Virgin America,,joyabsalon,,0,VirginAmerica bad say take 10 14 day via YOUR confirmation email. When I inquire 3 week claim 6 8 week !,,2015-02-21 18:29:35 -0800,Northern Virginia,Eastern Time (US & Canada)
97,183,569318651502989312,0,0.6791,Cancelled Flight,0.6791,Virgin America,,meladorri,,0,VirginAmerica Flight BOS & gt ; LAS tomorrow Cancelled Flightled. No notification ; wait time 1+ hour. Will rebook another airline ?,,2015-02-21 18:11:58 -0800,"Boston, MA",Central Time (US & Canada)
98,184,569318130356502528,1,0.3579,,0.0,Virgin America,,miaerolinea,,0,ð RT VirginAmerica : Youâve meet match. Got status another airline ? Upgrade ( +restr ) : http : //t.co/RHKaMx9VF5. http : //t.co/PYalebgkJt,,2015-02-21 18:09:54 -0800,Worldwide,Caracas
99,185,569316358845911040,1,1.0,,,Virgin America,,archiegips,,0,VirginAmerica Only way fly ! # Elevate # Gold,,2015-02-21 18:02:51 -0800,LaLa Land,Pacific Time (US & Canada)
100,187,569311060903268352,0,1.0,Can't Tell,0.648,Virgin America,,MarwaYousofzoy,,0,VirginAmerica lot `` apology '' thrown customer I see.Very sad. Thanks nothing. Worst airline ever .,,2015-02-21 17:41:48 -0800,,
101,188,569310635986546688,0,1.0,Flight Attendant Complaints,0.6729,Virgin America,,TTINAC11,,0,VirginAmerica flight stuff wrong nothing it. Had # worst # flight ever,,2015-02-21 17:40:07 -0800,"Las Vegas, NV",Mountain Time (US & Canada)
102,193,569303931916038144,0,1.0,Can't Tell,1.0,Virgin America,,MarwaYousofzoy,,0,VirginAmerica suck !,,2015-02-21 17:13:29 -0800,,
103,194,569298165855338497,1,1.0,,,Virgin America,,lexiesalas,,0,VirginAmerica thanks !,,2015-02-21 16:50:34 -0800,BAYAREAâï¸NYC,Pacific Time (US & Canada)
104,195,569290361870426112,0,1.0,Flight Booking Problems,0.6648,Virgin America,,MaximWheatley,,0,VirginAmerica Just DM'd. Same issue persisting .,,2015-02-21 16:19:33 -0800,"Washington, DC",Atlantic Time (Canada)
105,197,569277854950817792,0,1.0,Flight Booking Problems,1.0,Virgin America,,lexiesalas,,0,VirginAmerica try book flight & amp ; site ð,,2015-02-21 15:29:51 -0800,BAYAREAâï¸NYC,Pacific Time (US & Canada)
106,198,569277352129138688,0,0.7158,Cancelled Flight,0.7158,Virgin America,,Artenis15,,0,VirginAmerica You flight fly Boston tomorrow ? I need home Cancelled Flightled flight n't anything,,2015-02-21 15:27:52 -0800,MA // Ashton in Wonderland,Eastern Time (US & Canada)
107,200,569262527281913857,1,1.0,,,Virgin America,,JT_Magana,,0,VirginAmerica I love guy 's song ! We 're dance high school dance revue,,2015-02-21 14:28:57 -0800,,
108,201,569262225900359680,0,1.0,Customer Service Issue,0.6733,Virgin America,,MaximWheatley,,0,VirginAmerica Your website I 'm try check !,,2015-02-21 14:27:45 -0800,"Washington, DC",Atlantic Time (Canada)
109,202,569261347688607744,1,1.0,,,Virgin America,,carabubes,,0,"VirginAmerica do ! Thank quick response , apparently faster sit hold ; )",,2015-02-21 14:24:16 -0800,"Los Angeles, California",Central Time (US & Canada)
110,205,569253311813185537,1,1.0,,,Virgin America,,DailyBillboard,,0,VirginAmerica Keep great work : ),,2015-02-21 13:52:20 -0800,"Los Angeles, California",Pacific Time (US & Canada)
111,206,569253236093267969,1,1.0,,,Virgin America,,BigRichTexasPam,,0,VirginAmerica goodness people love field amazing pressure â¤ï¸from Texas # beatstheothers crisis Please fly NY,"[32.84359605, -96.84910929]",2015-02-21 13:52:02 -0800,FREE ADVICE! ,Central Time (US & Canada)
112,209,569248400836726786,1,1.0,,,Virgin America,,kyle_romanoff,,0,"VirginAmerica Thanks much awesome support , guy rock !",,2015-02-21 13:32:49 -0800,,
113,210,569247769166266368,0,0.7053,Bad Flight,0.7053,Virgin America,,wmrrock,,0,VirginAmerica seat Row 8 n't recline mention website # soreback,,2015-02-21 13:30:18 -0800,CT,Eastern Time (US & Canada)
114,211,569247394002563072,0,1.0,Late Flight,1.0,Virgin America,,wmrrock,,0,VirginAmerica flight 404 delay 2 hour LA due mechanical problems. Handle like pro could toss u free drink .,,2015-02-21 13:28:49 -0800,CT,Eastern Time (US & Canada)
115,212,569244860286263297,0,0.642,Cancelled Flight,0.642,Virgin America,,BigRichTexasPam,,0,VirginAmerica Cancelled Flight flight today ? No precipitation scar ! âï¸âï¸âï¸,"[32.8437698, -96.84928399]",2015-02-21 13:18:45 -0800,FREE ADVICE! ,Central Time (US & Canada)
116,214,569238877178716161,0,1.0,Cancelled Flight,0.6735,Virgin America,,MistakeCakeJake,,0,VirginAmerica You guy charge $ 100 reschedule flight Cancelled Flighted refuse refund it. What 's deal ?,,2015-02-21 12:54:58 -0800,,Central Time (US & Canada)
